IssueType,Issue Size,#Bug Commits,Tot Loc bug changed,#Changes,Tot Loc changed
PackageCycle1,203.0,70.0,735.0,556.0,4763.0
PackageCycle2,202.0,67.0,566.0,497.0,4754.0
PackageCycle3,194.0,66.0,600.0,547.0,4707.0
PackageCycle4,193.0,63.0,699.0,522.0,4393.0
PackageCycle5,185.0,60.0,552.0,496.0,4166.0
PackageCycle6,180.0,58.0,532.0,500.0,4160.0
PackageCycle7,169.0,69.0,639.0,584.0,5387.0
PackageCycle8,156.0,86.0,968.0,625.0,6244.0
PackageCycle9,98.0,45.0,709.0,348.0,4492.0
PackageCycle10,93.0,37.0,401.0,254.0,3214.0
PackageCycle11,69.0,39.0,363.0,284.0,2945.0
PackageCycle12,59.0,28.0,397.0,216.0,2643.0
PackageCycle13,56.0,14.0,300.0,144.0,2137.0
PackageCycle14,51.0,36.0,375.0,253.0,2910.0
PackageCycle15,50.0,19.0,161.0,155.0,1531.0
PackageCycle16,49.0,35.0,326.0,267.0,2677.0
PackageCycle17,44.0,22.0,276.0,171.0,1660.0
PackageCycle18,43.0,24.0,382.0,195.0,2896.0
PackageCycle19,41.0,22.0,180.0,143.0,1192.0
PackageCycle20,37.0,12.0,117.0,97.0,1412.0
PackageCycle21,37.0,24.0,341.0,170.0,1883.0
PackageCycle22,35.0,16.0,325.0,136.0,1546.0
PackageCycle23,35.0,11.0,116.0,141.0,1437.0
PackageCycle24,35.0,26.0,436.0,171.0,2216.0
PackageCycle25,33.0,14.0,154.0,152.0,1471.0
PackageCycle26,31.0,31.0,303.0,207.0,1980.0
PackageCycle27,28.0,25.0,490.0,202.0,3029.0
PackageCycle28,28.0,14.0,159.0,128.0,1754.0
PackageCycle29,27.0,10.0,45.0,80.0,1274.0
PackageCycle30,26.0,14.0,99.0,86.0,490.0
PackageCycle31,25.0,22.0,194.0,100.0,954.0
PackageCycle32,25.0,12.0,140.0,104.0,1331.0
PackageCycle33,24.0,9.0,124.0,96.0,1255.0
PackageCycle34,24.0,17.0,297.0,125.0,1318.0
PackageCycle35,23.0,1.0,19.0,35.0,571.0
PackageCycle36,23.0,14.0,144.0,117.0,974.0
PackageCycle37,23.0,8.0,25.0,54.0,734.0
PackageCycle38,22.0,5.0,91.0,51.0,343.0
PackageCycle39,22.0,12.0,84.0,111.0,775.0
PackageCycle40,22.0,4.0,51.0,46.0,920.0
PackageCycle41,20.0,15.0,139.0,121.0,1108.0
PackageCycle42,20.0,7.0,61.0,82.0,537.0
PackageCycle43,19.0,13.0,269.0,97.0,934.0
PackageCycle44,19.0,4.0,23.0,49.0,555.0
PackageCycle45,18.0,21.0,197.0,115.0,1039.0
PackageCycle46,18.0,6.0,92.0,85.0,1038.0
PackageCycle47,18.0,7.0,108.0,77.0,957.0
PackageCycle48,18.0,9.0,125.0,97.0,1179.0
PackageCycle49,17.0,8.0,96.0,75.0,537.0
PackageCycle50,17.0,7.0,103.0,89.0,1272.0
PackageCycle51,16.0,6.0,44.0,69.0,675.0
PackageCycle52,15.0,6.0,47.0,76.0,535.0
PackageCycle53,14.0,14.0,158.0,97.0,1093.0
PackageCycle54,14.0,5.0,199.0,56.0,734.0
PackageCycle55,14.0,9.0,124.0,94.0,1210.0
PackageCycle56,14.0,15.0,282.0,91.0,1629.0
PackageCycle57,14.0,12.0,177.0,54.0,539.0
PackageCycle58,14.0,8.0,102.0,91.0,862.0
PackageCycle59,13.0,15.0,125.0,104.0,1294.0
PackageCycle60,12.0,15.0,139.0,95.0,859.0
PackageCycle61,12.0,18.0,171.0,99.0,954.0
PackageCycle62,11.0,5.0,33.0,44.0,430.0
PackageCycle63,11.0,2.0,74.0,27.0,175.0
PackageCycle64,11.0,17.0,161.0,97.0,843.0
PackageCycle65,11.0,7.0,108.0,76.0,1036.0
PackageCycle66,11.0,3.0,17.0,28.0,211.0
PackageCycle67,11.0,8.0,102.0,71.0,677.0
PackageCycle68,10.0,8.0,102.0,75.0,705.0
PackageCycle69,10.0,2.0,10.0,24.0,209.0
PackageCycle70,10.0,9.0,107.0,77.0,806.0
PackageCycle71,10.0,10.0,199.0,43.0,514.0
PackageCycle72,9.0,0.0,0.0,45.0,414.0
PackageCycle73,9.0,3.0,25.0,13.0,57.0
PackageCycle74,9.0,4.0,91.0,56.0,864.0
PackageCycle75,9.0,2.0,14.0,52.0,646.0
PackageCycle76,9.0,1.0,4.0,5.0,12.0
PackageCycle77,9.0,8.0,102.0,69.0,659.0
PackageCycle78,9.0,8.0,102.0,80.0,878.0
PackageCycle79,9.0,8.0,102.0,71.0,676.0
PackageCycle80,8.0,6.0,153.0,38.0,598.0
PackageCycle81,8.0,2.0,20.0,16.0,82.0
PackageCycle82,8.0,5.0,40.0,24.0,148.0
PackageCycle83,8.0,0.0,0.0,15.0,63.0
