Index,Size,UnstableInterface
UnstableInterface1,176,src.main.java.org.orekit.time.AbsoluteDate_java
UnstableInterface2,157,src.main.java.org.orekit.attitudes.InertialProvider_java
UnstableInterface3,150,src.main.java.org.orekit.utils.IERSConventions_java
UnstableInterface4,145,src.main.java.org.orekit.time.FieldAbsoluteDate_java
UnstableInterface5,125,src.main.java.org.orekit.utils.TimeStampedPVCoordinates_java
UnstableInterface6,121,src.main.java.org.orekit.propagation.Propagator_java
UnstableInterface7,111,src.main.java.org.orekit.frames.EOPHistory_java
UnstableInterface8,107,src.main.java.org.orekit.data.DataProvidersManager_java
UnstableInterface9,85,src.main.java.org.orekit.propagation.semianalytical.dsst.utilities.FieldAuxiliaryElements_java
UnstableInterface10,79,src.main.java.org.orekit.propagation.SpacecraftState_java
UnstableInterface11,61,src.main.java.org.orekit.frames.FieldTransform_java
UnstableInterface12,59,src.main.java.org.orekit.propagation.events.AbstractDetector_java
UnstableInterface13,55,src.main.java.org.orekit.errors.OrekitMessages_java
UnstableInterface14,54,src.main.java.org.orekit.propagation.PropagationType_java
UnstableInterface15,49,src.main.java.org.orekit.propagation.events.EventDetector_java
UnstableInterface16,35,src.main.java.org.orekit.frames.Transform_java
UnstableInterface17,30,src.main.java.org.orekit.estimation.measurements.EstimatedMeasurement_java
UnstableInterface18,26,src.main.java.org.orekit.attitudes.AttitudeProvider_java

