Index,Size,UnstableInterface
UnstableInterface1,103,core.src.main.java.jenkins.model.Jenkins_java
UnstableInterface2,81,core.src.main.java.hudson.model.Computer_java
UnstableInterface3,77,core.src.main.java.hudson.Functions_java
UnstableInterface4,74,core.src.main.java.hudson.FilePath_java
UnstableInterface5,74,core.src.main.java.hudson.model.Items_java
UnstableInterface6,70,core.src.main.java.hudson.model.Job_java
UnstableInterface7,69,core.src.main.java.hudson.model.Descriptor_java
UnstableInterface8,66,core.src.main.java.hudson.model.Node_java
UnstableInterface9,63,core.src.main.java.hudson.model.Queue_java
UnstableInterface10,62,core.src.main.java.hudson.model.Run_java
UnstableInterface11,61,core.src.main.java.hudson.model.AbstractProject_java
UnstableInterface12,54,core.src.main.java.hudson.Launcher_java
UnstableInterface13,53,core.src.main.java.hudson.security.Permission_java
UnstableInterface14,45,core.src.main.java.hudson.model.AbstractBuild_java
UnstableInterface15,44,core.src.main.java.hudson.model.Item_java
UnstableInterface16,40,core.src.main.java.hudson.model.User_java
UnstableInterface17,33,core.src.main.java.hudson.Util_java
UnstableInterface18,31,core.src.main.java.hudson.model.ManagementLink_java
UnstableInterface19,22,core.src.main.java.jenkins.util.SystemProperties_java

