Index,Size
PackageCycle1,84
PackageCycle2,71
PackageCycle3,39
PackageCycle4,38
PackageCycle5,28
PackageCycle6,23
PackageCycle7,21
PackageCycle8,20
PackageCycle9,19
PackageCycle10,18
PackageCycle11,17
PackageCycle12,17
PackageCycle13,16
PackageCycle14,14
PackageCycle15,14
PackageCycle16,14
PackageCycle17,12
PackageCycle18,12
PackageCycle19,11
PackageCycle20,11
PackageCycle21,10
PackageCycle22,10
PackageCycle23,10
PackageCycle24,8
PackageCycle25,7
PackageCycle26,7
PackageCycle27,7
PackageCycle28,7
PackageCycle29,7
PackageCycle30,7
PackageCycle31,7
PackageCycle32,7
PackageCycle33,7
PackageCycle34,7
PackageCycle35,6
PackageCycle36,6
PackageCycle37,6
PackageCycle38,6
PackageCycle39,6
PackageCycle40,5
PackageCycle41,5
PackageCycle42,5
PackageCycle43,5
PackageCycle44,5
PackageCycle45,5
PackageCycle46,5
PackageCycle47,5
PackageCycle48,5
PackageCycle49,5
PackageCycle50,5
PackageCycle51,5
PackageCycle52,5
PackageCycle53,4
PackageCycle54,4
PackageCycle55,4
PackageCycle56,4
PackageCycle57,4
PackageCycle58,4
PackageCycle59,4
PackageCycle60,4
PackageCycle61,4
PackageCycle62,3
PackageCycle63,3
PackageCycle64,3

