Index,Size
ModularityViolation1,50
ModularityViolation2,45
ModularityViolation3,41
ModularityViolation4,35
ModularityViolation5,33
ModularityViolation6,30
ModularityViolation7,30
ModularityViolation8,27
ModularityViolation9,27
ModularityViolation10,26
ModularityViolation11,22
ModularityViolation12,22
ModularityViolation13,22
ModularityViolation14,18
ModularityViolation15,16
ModularityViolation16,16
ModularityViolation17,16
ModularityViolation18,15
ModularityViolation19,15
ModularityViolation20,14
ModularityViolation21,14
ModularityViolation22,14
ModularityViolation23,13
ModularityViolation24,13
ModularityViolation25,13
ModularityViolation26,12
ModularityViolation27,12
ModularityViolation28,8
ModularityViolation29,8
ModularityViolation30,8
ModularityViolation31,7
ModularityViolation32,7
ModularityViolation33,7
ModularityViolation34,6
ModularityViolation35,6
ModularityViolation36,5
ModularityViolation37,5
ModularityViolation38,5
ModularityViolation39,4
ModularityViolation40,4
ModularityViolation41,4
ModularityViolation42,3
ModularityViolation43,3
ModularityViolation44,3
ModularityViolation45,3
ModularityViolation46,3
ModularityViolation47,3
ModularityViolation48,3
ModularityViolation49,3
ModularityViolation50,3
ModularityViolation51,2
ModularityViolation52,2
ModularityViolation53,2
ModularityViolation54,2
ModularityViolation55,2
ModularityViolation56,2
ModularityViolation57,2
ModularityViolation58,2
ModularityViolation59,2
ModularityViolation60,2
ModularityViolation61,2
ModularityViolation62,2
ModularityViolation63,2
ModularityViolation64,2

