Index,Size
PackageCycle1,42
PackageCycle2,40
PackageCycle3,37
PackageCycle4,33
PackageCycle5,30
PackageCycle6,17
PackageCycle7,14
PackageCycle8,14
PackageCycle9,12
PackageCycle10,12
PackageCycle11,12
PackageCycle12,12
PackageCycle13,11
PackageCycle14,11
PackageCycle15,11
PackageCycle16,10
PackageCycle17,10
PackageCycle18,9
PackageCycle19,9
PackageCycle20,9
PackageCycle21,8
PackageCycle22,8
PackageCycle23,8
PackageCycle24,8
PackageCycle25,8
PackageCycle26,7
PackageCycle27,7
PackageCycle28,7
PackageCycle29,7
PackageCycle30,7
PackageCycle31,7
PackageCycle32,6
PackageCycle33,6
PackageCycle34,6
PackageCycle35,6
PackageCycle36,6
PackageCycle37,6
PackageCycle38,6
PackageCycle39,6
PackageCycle40,6
PackageCycle41,6
PackageCycle42,6
PackageCycle43,6
PackageCycle44,6
PackageCycle45,6
PackageCycle46,5
PackageCycle47,5
PackageCycle48,5
PackageCycle49,5
PackageCycle50,5
PackageCycle51,5
PackageCycle52,5
PackageCycle53,5
PackageCycle54,5
PackageCycle55,5
PackageCycle56,5
PackageCycle57,5
PackageCycle58,5
PackageCycle59,4
PackageCycle60,4
PackageCycle61,4
PackageCycle62,4
PackageCycle63,4
PackageCycle64,4
PackageCycle65,4
PackageCycle66,4
PackageCycle67,4
PackageCycle68,4
PackageCycle69,4
PackageCycle70,4
PackageCycle71,3
PackageCycle72,3
PackageCycle73,3
PackageCycle74,3
PackageCycle75,3
PackageCycle76,3
PackageCycle77,3
PackageCycle78,3
PackageCycle79,3
PackageCycle80,3
PackageCycle81,2
PackageCycle82,2
PackageCycle83,2
PackageCycle84,2
PackageCycle85,2

