Index,Size
PackageCycle1,56
PackageCycle2,49
PackageCycle3,41
PackageCycle4,40
PackageCycle5,33
PackageCycle6,32
PackageCycle7,32
PackageCycle8,31
PackageCycle9,29
PackageCycle10,26
PackageCycle11,23
PackageCycle12,21
PackageCycle13,21
PackageCycle14,20
PackageCycle15,20
PackageCycle16,19
PackageCycle17,18
PackageCycle18,18
PackageCycle19,17
PackageCycle20,16
PackageCycle21,16
PackageCycle22,15
PackageCycle23,15
PackageCycle24,14
PackageCycle25,14
PackageCycle26,14
PackageCycle27,12
PackageCycle28,12
PackageCycle29,11
PackageCycle30,11
PackageCycle31,11
PackageCycle32,10
PackageCycle33,10
PackageCycle34,9
PackageCycle35,8
PackageCycle36,8
PackageCycle37,8
PackageCycle38,7
PackageCycle39,7
PackageCycle40,7
PackageCycle41,7
PackageCycle42,7
PackageCycle43,7
PackageCycle44,6
PackageCycle45,6
PackageCycle46,6
PackageCycle47,6
PackageCycle48,6
PackageCycle49,6
PackageCycle50,5

